,img,title,score,genre,running_time,synop,year,key_words
21,https://images.justwatch.com/poster/116140583/s592,일하는 세포,7.5,"['코미디', '액션', '판타지', '애니메이션']",23분,"우리가 모르는 사이 인체를 지키기 위해 열심히 일하는 누군가가 있다? 수많은 세포가 의인화된 캐릭터로 살아난다! 빨간 모자를 쓴 배달부 적혈구, 침입자를 물리치는 백혈구, 귀여운 꼬맹이 혈소판 등. 각각 몸 안에서 어떤 활약을 할까?",2018,"['우리', '물']"
22,https://images.justwatch.com/poster/242238896/s592,일하는 세포 BLACK,7.5,"['액션', 'SF', '애니메이션', '코미디', '판타지', '공포']",23분,"탈핵을 마치고 업무에 투입되는 신참 적혈구. 의욕 충만한 모범 사원이지만, 하필 이 몸의 주인은 걸어 다니는 종합병원? 블랙 기업급의 쉴 틈 없는 노동이 시작된다. 누가 나 좀 살려줘!",2021,['병']
23,https://images.justwatch.com/poster/240522756/s592,일곱 개의 대죄,8,"['액션', 'SF', '판타지', '애니메이션', '코미디']",24분,"브리타니아에 위치한 리오네스 왕국 전복을 계획한 것으로 알려진 전설적인 기사단 ""일곱 개의 대죄""가 왕국 성기사들로부터 당해 행방불명으로 사라진 배경에서 출발, 그로부터 10년 뒤 리오네스 왕국의 성기사들은 스스로 힘을 키워 왕을 구속하고 학대와 폭정을 일삼는 와중에 살아남은 왕국의 셋째 공주 엘리자베스는, 일곱 개의 대죄라는 최악이자 최강의 원군을 찾기 위해 여행을 나서게 된다.",2014,"['여행', '힘', '전설', '배경', '왕국', '최강', '불']"
24,https://images.justwatch.com/poster/141779372/s592,Dharmakshetra,8.1,['드라마'],44분,18일 간의 마하바라타 전쟁이 끝난 후 판다바와 카우라바는 치트라굽타 궁정에 도착하여 전생의 행동에 답해야 합니다. 각 에피소드에서 캐릭터 중 한 명이 다른 사람들을 대신하여 Chitragupta가 묻는 질문에 답하기 위해 중심 무대를 차지합니다.,2014,"['사람', '무대']"
25,https://images.justwatch.com/poster/148852829/s592,굿 닥터,8.1,['드라마'],43분,자폐증을 가진 젊은 외과 의사가 명문 병원에 들어가게된다. 이에 사람들과 소통하지 못하는 의사가 사람의 목숨을 구할 수 있을 까 하는 의문이 제기되는데...,2017,"['사람', '목숨', '의사', '의문', '명문', '병']"
26,https://images.justwatch.com/poster/103400512/s592,페어리 테일,8,"['SF', '액션', '애니메이션', '코미디', '판타지']",24분,"온 세상에 수없이 존재하는 마도사 길드. 마도사 길드란, 불가사의한 힘인 마법을 자유자재로 다루며 다른 이들을 도우는 자들인 '마도사'(魔度師)들이 모여 활동하는 일종의 모임 조직을 뜻한다. 훌륭한 마도사를 목표로 하는 소녀 루시는 엉뚱한 일로부터 불을 먹고 불을 토해, 불을 휘감아 싸우는 드래곤 슬레이어 나츠와 만나, 나츠가 소속하는 길드〈페어리테일〉에 가입한다.",2009,"['소녀', '존재', '힘', '조직', '마법', '법', '목표', '드래곤', '자유', '불']"
27,https://images.justwatch.com/poster/183512163/s592,셔터 아일랜드,8.2,['스릴러'],2시간 18분,"보스턴 셔터아일랜드의 정신병원은 중범죄를 저지른 정신병자를 격리하는 병동으로 탈출 자체가 불가능하다. 하지만 자식 셋을 죽인 혐의를 받고 있는 여인이 이상한 쪽지만을 남긴 채 감쪽같이 사라지는 사건이 발생한다. 연방보안관 테디 다니엘스(레오나르도 디카프리오)는 수사를 위해 동료 척(마크 러팔로)과 함께 셔터아일랜드로 향한다. 테디는 수사를 위해 의사, 간호사, 병원관계자 등을 심문하지만 수사는 전혀 진척되지 않는다. 설상가상 폭풍이 불어 닥쳐 테디와 척은 섬에 고립되게 되고, 그들에게 점점 괴이한 일들이 일어나기 시작하는데...",2010,"['사건', '동료', '여인', '의사', '발생', '수사', '탈출', '관계', '불', '섬', '프리', '병']"
28,https://images.justwatch.com/poster/250495887/s592,데드풀,8,"['코미디', 'SF', '액션']",1시간 48분,특수부대 요원 출신의 용병 웨이드 윌슨은 취향과 장난기마저 똑 닮은 바네사를 만나 행복한 나날을 보낸다. 하지만 행복은 광고처럼 짧은 법. 말기 암 선고를 받은 웨이드는 비밀 임상실험에 참여하며 재기를 노린다. 극한의 고문으로 이뤄진 실험 후 웨이드는 암을 치료할뿐더러 무한한 재생 능력을 얻으며 불사의 존재가 된다. 하지만 동시에 부작용으로 호러영화에 어울릴 법한 외양을 갖는다. 스스로 슈트까지 지어 입고 데드풀이 된 웨이드는 자신을 고문한 자를 찾아 제대로 복수한 뒤 당당히 바네사 앞에 나서려 한다.,2016,"['비밀', '복수', '존재', '능력', '법', '요원', '영화', '불', '병']"
29,https://images.justwatch.com/poster/186356561/s592,빅 쇼트,7.8,"['코미디', '드라마', '역사']",2시간 11분,"사회성이라곤 없는 캐피털 회사 대표 마이클 버리는 금융시장의 붕괴를 예측하고, 골드만삭스를 찾아가 부동산 폭락에 돈을 걸겠다고 말해 비웃음을 산다. 도이치뱅크의 트레이더인 자레드 베넷은 대형 은행들이 안전자산이라 홍보한 부채담보부증권의 부실을 파악하고 내부 정보를 투자자들에게 흘린다. 펀드매니저 마크 바움은 자레드에게서 제공받은 정보로 대형 은행과 반대되는 투자를 감행한다. 은퇴 뒤 은둔 중인 전직 트레이더 벤 리커트는 눈밝고 대담한 젊은 펀드매니저 찰리와 제이미를 돕는다.",2015,"['돈', '회사', '형', '산', '웃음']"
30,https://images.justwatch.com/poster/192686188/s592,나만이 없는 거리,8.5,"['애니메이션', 'SF', '스릴러', '드라마', '판타지']",22분,"무엇 하나 제대로 안 풀리는 현실 속에서 하루하루 조바심만 더해가던 청년 후지누마 사토루. 자신에게만 일어나는 ‘시간이 되돌아간다’는 불가사의한 현상조차, 청년의 불만은 더욱 크게 만들 뿐이었다. 하지만 그것은 어느 날을 기점으로 달라졌다. 커다란 사건이 청년의 주변을 다짜고짜 변화시켜 나가는데.",2016,"['사건', '시간', '현실', '청년', '불']"
